wwf_row_id,seafood_category,main_common_name,secondary_common_name,scientific_name,sustainability_rating,origin,production_method_final,certification,alternatives_under_wwf_malaysia_improvement_project,source_pdf_page,canonical_fish_id,fish_type,description,context
11,Fish,Bakulan,Skipjack,Katsuwonus pelamis,Reduce,Malaysia (Sabah),Purse seine (Wild caught),,,1,,Marine pelagic fish,A small tropical tuna that travels in schools through warm ocean waters and is widely used in Southeast Asian fisheries.,"WWF rates Bakulan from Sabah caught using purse seine as Reduce. Skipjack tuna is a fast-growing and highly productive tuna species that generally withstands fishing pressure better than larger tuna species. Purse seine fishing can efficiently target large schools, but sustainability depends on controlling fishing pressure and reducing the capture of juvenile tuna and other non-target species. Responsible management of the fishery is therefore important to maintain healthy stocks."
12,Fish,Bangkuli / Balat,Sandfish,Holothuria scabra,Avoid,Malaysia (Sabah),Sea Pen (Farmed),,,1,,Marine echinoderm,"A sea cucumber species living on shallow sandy and muddy seabeds, harvested for its dried sea-cucumber product.","WWF rates Bangkuli / Balat from Sabah farmed in sea pens as Avoid. Sandfish is a sea cucumber that plays an important ecological role by processing organic material in seabed sediments. Wild populations have experienced heavy harvesting pressure because of their high commercial value, and depleted populations can recover slowly when breeding adults become scarce. Although sea-pen farming can support production, responsible sourcing of juveniles and management of farming activities are important to avoid adding pressure to vulnerable wild populations."
13,Fish,Bawal Emas,Snubnose Pompano,Trachinotus blochii,Best Choice,Malaysia (Peninsular),Cage Culture (Farmed),,,1,,Marine fish,"A warm-water pompano with a streamlined body, often associated with coastal waters and marine aquaculture.","WWF rates Bawal Emas Best Choice for Malaysian Peninsular cage culture. The guide describes snubnose pompano as an Indo-Pacific species associated with rocky reefs, coral reefs and inshore habitats and notes that it is a popular aquaculture species in Malaysia. WWF's Best Choice category is reserved for preferred seafood from well-managed stocks or lower-impact aquaculture."
14,Fish,Bawal Hitam,Black Pomfret,Parastromateus niger,Reduce,Malaysia,Trawl (Wild caught),,,1,,Marine demersal fish,"A deep-bodied pomfret with a distinctive dark body, commonly sold in Malaysian seafood markets.",WWF rates Malaysian Bawal Hitam caught using trawl as Reduce. Bawal Hitam is a commercially important coastal fish found over continental shelf waters. Trawl fishing can catch a wide range of non-target fish and marine organisms alongside the target species and may disturb seabed habitats when the gear contacts the bottom. Managing fishing pressure and reducing unwanted catch are therefore important for improving the sustainability of this fishery.
15,Fish,Bawal Putih,Chinese Silver Pomfret,Pampus chinensis,Avoid,Malaysia,Gillnets (Wild caught),,,1,,Marine demersal fish,A silver-bodied pomfret found over muddy coastal seabeds and widely consumed across Asian markets.,"WWF notes that Chinese Silver Pomfret occurs seasonally, usually singly or in small schools over muddy bottoms, and may enter estuaries. The guide states that it is mainly caught by trawl and describes trawling as highly detrimental because it is non-selective, prone to habitat destruction and can create bycatch of endangered, threatened and protected species. These impacts support Avoid."
16,Fish,Belanak,Longfin Grey Mullet,Valamugil cunnesius,Best Choice,Malaysia,Gillnets (Wild caught),,,1,,Marine-estuarine fish,"A coastal mullet associated with estuaries and shallow waters, recognised for its elongated body and fine-textured flesh.","WWF rates Malaysian Belanak caught using gillnets as Best Choice. Belanak is a coastal fish commonly associated with shallow waters and estuaries and can tolerate a wide range of environmental conditions. Gillnets can efficiently target fish of particular sizes when appropriate mesh sizes are used, although poorly managed nets may also catch non-target marine animals. Under the fishery assessed by WWF, this source is considered a preferred seafood choice."
17,Fish,Bulu Ayam (Ikan Masin),Grenadler Anchovy,Coilia spp.,Reduce,Malaysia (Peninsular),Other Seine (Wild caught),,,1,,Marine pelagic fish,A small anchovy-like fish used locally as dried or salted seafood and associated with Malaysian coastal fisheries.,WWF rates Bulu Ayam (Ikan Masin) from Peninsular Malaysia caught using seine nets as Reduce. This small coastal fish is commonly harvested for drying and salting and forms part of Malaysia's small-fish fisheries. Seine fishing can capture large numbers of fish at once and may also retain juvenile and non-target species depending on the fishing area and mesh size used. Maintaining appropriate fishing pressure and reducing unwanted catch are important for the long-term sustainability of the fishery.
18,Fish,Bulus,Silver Sillago,Sillago sihama,Avoid,Malaysia,Trawl (Wild caught),,,1,,Marine demersal fish,A small silver fish that lives over sandy and muddy coastal bottoms and is commonly caught in nearshore fisheries.,"WWF rates Malaysian Bulus caught using trawl as Avoid. Bulus is a bottom-associated coastal fish commonly found over sandy and muddy seabeds. Its habitat overlaps with areas where trawling operates, and trawl fishing can disturb seabed communities while capturing juvenile and non-target marine species together with the target catch. These impacts make responsible management of fishing effort and seabed habitats particularly important."
19,Fish,Cencaru,Hardtail Scad,Megalaspis cordyla,Best Choice,Malaysia,Purse seine/ Gillnet Trawl (Wild caught),,,1,,Marine pelagic fish,A robust coastal scad that forms schools in tropical waters and is a familiar fish in Malaysian markets.,"WWF rates Malaysian Cencaru caught using purse seine, gillnets and trawl as Best Choice. Cencaru is a schooling coastal fish that is widely harvested in Malaysian waters. Purse seines can efficiently target schools in the water column, while gillnets and trawls have different levels of bycatch and habitat impact. Sustainability therefore depends on appropriate management of fishing effort, gear use and the condition of the stock. Under the fisheries assessed by WWF, this source is considered a preferred seafood choice."
20,Fish,Chinook Salmon,-,Oncorhynchus tshawytscha,Best Choice,Alaska,Pelagic gillnets (Wild caught),,,1,,Anadromous fish,"A large Pacific salmon known for its rich flavour and dark flesh, migrating between the ocean and freshwater rivers.","WWF says Alaskan Chinook salmon fisheries are managed by the Alaska Department of Fish and Game and that the cited stocks are healthy. The guide notes commercial regulations for individual fishing areas, participation in Fishery Improvement Projects and partial MSC certification. These stock and management measures support the Best Choice classification for the Alaskan fishery."
21,Fish,Gamat / Timun Laut,Sea Cucumber,Stichopus horrens,Avoid,Malaysia,Hand Collection,,,1,,Marine echinoderm,"A sea cucumber found on shallow reef and coastal seabeds, harvested as a marine invertebrate seafood product.","WWF rates Malaysian Gamat / Timun Laut collected by hand as Avoid. Sea cucumbers play an important ecological role on the seabed by consuming organic material and recycling nutrients within marine sediments. Hand collection causes relatively little physical habitat damage, but sea cucumbers are vulnerable to overharvesting because high-value populations can be rapidly depleted when too many adults are removed. Maintaining sufficient breeding populations is therefore particularly important for their recovery and long-term sustainability."
22,Fish,Hoki,-,Macruronus novaezelandiae,Reduce,New Zealand,Mid-water trawl (Wild caught),,,1,,Marine demersal fish,A long-bodied cold-water fish commonly caught around New Zealand and used widely as a white-fleshed seafood.,"WWF notes that New Zealand hoki is caught with mid-water otter trawls. Bycatch is estimated at about 12% of catch and juveniles at 20–30%, while interactions with endangered, threatened and protected species may be high. Discard rates are low and seabed contact is considered unlikely, limiting habitat impact. The combination of risks and mitigations leads WWF to Reduce."
23,Fish,Ikan Bilis,Anchovies,Stolephorus spp.,Reduce,Malaysia,Purse seine/ Lift nets (Wild caught),,,1,,Marine pelagic fish,"Small schooling anchovies widely used fresh, dried or fermented in Malaysian cuisine and coastal food traditions.","WWF rates Malaysian Ikan Bilis caught using purse seines and lift nets as Reduce. Ikan Bilis are small schooling fish that form an important part of marine food webs by transferring energy from plankton to larger fish, seabirds and other predators. Purse seines and lift nets can harvest large quantities from dense schools, so excessive fishing can affect both the target population and species that depend on these fish as prey. Sustainable harvesting therefore requires appropriate control of fishing pressure."
24,Fish,Ikan Delah / Tauhu,Yellowtail Fusiler,Caesio cuning,Avoid,Malaysia,Pelagic gillnets (Wild caught),,,1,,Marine reef fish,"A colourful fusilier that forms schools around reefs and coastal waters, often encountered in tropical Southeast Asian fisheries.","WWF describes this fishery as data deficient, with no stock characterisation or indirect stock-status indicators in Malaysia and limited information on the species' biology. Given widespread overfishing across the Indo-Pacific, WWF considers stocks likely to be overfished or undergoing overfishing. The guide also says bottom-set gillnets are non-selective and can have high impacts on endangered, threatened and protected species. This supports Avoid."
25,Fish,Ikan Gelama,Croakers,Sciaenidae spp.,Avoid,Malaysia,Bottom Trawl (Wild caught),,,1,,Marine demersal fish,A group of coastal croakers that often live near muddy bottoms and estuaries and produce characteristic drumming sounds.,"WWF rates Malaysian Ikan Gelama caught using bottom trawl as Avoid. Ikan Gelama are bottom-associated coastal fish commonly found over sandy and muddy substrates and in estuarine environments. Bottom trawling can disturb these seabed habitats and capture a broad range of non-target fish and invertebrates alongside the target catch. The combination of fishing pressure, bycatch and seabed disturbance creates significant sustainability concerns for this source."
26,Fish,Ikan Merah,Red Snapper,Lutjanus sebae,Reduce,Malaysia (East Coast &,Hook and line (Wild caught),,AIP,1,,Marine reef fish,"A red snapper associated with reefs and coastal waters, known for firm flesh and a bright reddish body.","WWF rates Malaysian Ikan Merah caught using hook and line as Reduce. Ikan Merah is a reef-associated snapper that can be vulnerable to sustained fishing pressure because larger individuals take time to reach maturity and contribute significantly to reproduction. Hook-and-line fishing is relatively selective and generally causes little direct damage to seabed habitats, although maintaining healthy breeding populations and appropriate fishing pressure remains important for the long-term sustainability of the stock."
27,Fish,Ikan Sebelah,Flounder,Pseudorhombus malayanus,Avoid,Malaysia,Trawl (Wild caught),,,1,,Marine demersal fish,"A bottom-dwelling flatfish with both eyes on one side of its body, living mainly over sandy or muddy seabeds.","WWF rates Malaysian Ikan Sebelah caught using bottom trawl as Avoid. Ikan Sebelah are bottom-dwelling flatfish that live on sandy and muddy seabeds, placing them directly within habitats affected by bottom trawling. Bottom trawls can disturb seabed communities and capture juvenile fish and other non-target marine species alongside the target catch. The combination of fishing pressure, bycatch and disturbance to the benthic habitat creates significant sustainability concerns for this source."
28,Fish,Ikan Selar,Common Scad,Decapterus akaadsi,Reduce,Malaysia,Purse seine (Wild caught),,,1,,Marine pelagic fish,A small schooling scad common in tropical waters and a familiar fish in Malaysian seafood markets.,"WWF notes that Common Scad is a schooling species found mainly in open water and commonly around insular habitats, with catches often coming from roughly 40–200 metres. The guide says stock health and species biology information is lacking, creating uncertainty about sustainability. Purse seine is described as the common and more selective harvest method, so WWF assigns Reduce rather than Avoid."
29,Fish,Jenahak,John's Snapper,Lutjanus johnii,Avoid,Malaysia,Trawl (Wild caught),,AIP,1,,Marine reef fish,"A snapper associated with coastal and reef habitats, recognised for its coppery-red body and firm flesh.","WWF reports that no stock assessments are available for John's Snapper and that the species is highly vulnerable to fishing pressure. Regional fisheries are considered significantly overfished, while bottom trawling can threaten turtles and damage corals and other benthic organisms. The guide also notes high catches of juveniles and non-target fish and insufficient information to judge management effectiveness. These factors support Avoid."
30,Fish,Jerung / Yu,All Sharks,Elasmobranchii,Avoid,Malaysia and Global,Trawl/ Hook and line (Wild caught),,,1,,Marine cartilaginous fish,A broad group of sharks that occupy many marine habitats and play important roles as ocean predators.,"WWF highlights overfishing and demand for shark fins and meat as major pressures on sharks. The guide also emphasises that sharks are important predators within marine ecosystems and that WWF is working to reduce unsustainable fishing and demand. Given these conservation pressures and the Malaysia/global wild-caught context, the entire shark category is placed in Avoid."
31,Fish,Kekacang,Pickhandle Barracuda,Sphyraena jello,Avoid,Malaysia,Trawl (Wild caught),,,1,,Marine pelagic fish,"A fast predatory barracuda found in tropical coastal waters, recognisable by its elongated body and strong jaws.","WWF rates Malaysian Kekacang caught using trawl as Avoid. Kekacang is a predatory barracuda found in tropical coastal and offshore waters. Trawl fishing can capture non-target fish and other marine organisms alongside the target catch and may disturb seabed habitats where the gear contacts the bottom. These impacts, together with the need to manage fishing pressure on predatory fish populations, create sustainability concerns for this source."
32,Fish,Kembung / Pelaling,Indian Mackerel,Rastrelliger kanagurta,Reduce,Malaysia,Purse seine (Wild caught),,,1,,Marine pelagic fish,"A small schooling mackerel widely eaten in Malaysia, with oily flesh and a strong place in everyday local cuisine.","WWF rates Malaysian Kembung / Pelaling caught using purse seine as Reduce. This schooling mackerel is an important small pelagic fish in Malaysian fisheries and also forms part of the marine food web as prey for larger predators. Purse seines can efficiently harvest large schools, making appropriate control of fishing effort important to prevent excessive pressure on the stock. Maintaining healthy populations is important both for the fishery and for the wider marine ecosystem."
33,Fish,Kerapu Bebeh,Sixbar Grouper,Epinephelus sexfasciatus,Avoid,Malaysia (Peninsular),Trawl (Wild caught),,,1,,Marine reef fish,"A small grouper associated with reef and rocky coastal habitats and valued for its firm, white flesh.","WWF rates Kerapu Bebeh from Peninsular Malaysia caught using trawl as Avoid. Kerapu Bebeh is a reef-associated grouper, and groupers can be vulnerable to sustained fishing pressure because many species grow relatively slowly and depend on mature adults for successful reproduction. Trawling can also capture non-target species and disturb seabed habitats, adding further environmental impacts to the fishery."
34,Fish,Kerapu Bintik,Orange Spotted Grouper,Epinephelus coioides,Avoid,Malaysia,Bottom Trawl (Wild caught),,,1,,Marine reef fish,"A reef-associated grouper found in tropical coastal waters, commonly sold as a premium food fish in Southeast Asia.","WWF notes that Orange Spotted Grouper uses coastal habitats including mangroves, coral reefs, estuaries, shallow seas and saline lagoons. It is commonly caught by bottom trawl, which the guide describes as highly detrimental because the gear is non-selective, can damage habitat and can produce bycatch of endangered, threatened and protected species. The combined habitat and fishing-method risks support Avoid."
35,Fish,Kerapu Ekor Gelap,Duskytail Grouper,Epinephelus bleekeri,Avoid,Malaysia (Peninsular),Trawl (Wild caught),,,2,,Marine reef fish,"A grouper associated with tropical coastal habitats, with a sturdy body and firm, white flesh.","WWF rates Kerapu Ekor Gelap from Peninsular Malaysia caught using trawl as Avoid. Kerapu Ekor Gelap is a grouper associated with tropical coastal and reef habitats. Like many groupers, its populations can be vulnerable to sustained fishing pressure, particularly when mature individuals are heavily harvested. Trawl fishing adds further concern because it can capture non-target marine life and disturb seabed habitats."
36,Fish,Kerapu Harimau,Brown-marble Grouper,Epinephelus fuscoguttatus,Reduce,Malaysia (Peninsular),Cage Culture (Farmed),,,2,,Marine reef fish,"A large, reef-associated grouper with a marbled pattern, commonly produced through marine cage aquaculture.","WWF rates Kerapu Harimau from Peninsular Malaysia farmed using cage culture as Reduce. Kerapu Harimau is a reef-associated grouper widely cultured as a high-value food fish. Cage farming can reduce direct fishing pressure on adult wild groupers when hatchery-produced juveniles are used, but sustainability depends on responsible sourcing of juveniles and feed and effective management of waste, disease and escapes."
37,Fish,Kerapu Kertang,Giant Grouper,Epinephelus lanceolatus,Avoid,Malaysia (Peninsular),Cage Culture (Farmed),,,2,,Marine reef fish,"A very large grouper that can inhabit reefs and coastal waters, reaching exceptional size compared with many groupers.","WWF rates Kerapu Kertang from Peninsular Malaysia farmed using cage culture as Avoid. Kerapu Kertang is a very large grouper that grows relatively slowly and is vulnerable to exploitation in the wild. Farming can reduce direct harvesting of adults, but sustainability depends on whether juveniles are hatchery-produced, how feed is sourced and how farms manage waste, disease and escapes. Reliance on marine resources for seed or feed can reduce the environmental benefits of aquaculture."
38,Fish,Kerapu Lumpur,Malabar Grouper,Epinephelus malabaricus,Avoid,Malaysia (Peninsular),Trawl (Wild caught),,,2,,Marine reef fish,"A large tropical grouper associated with coastal and reef habitats and known for its firm, white flesh.","WWF rates Kerapu Lumpur from Peninsular Malaysia caught using trawl as Avoid. Kerapu Lumpur is a large grouper associated with coastal, estuarine and reef habitats. Groupers can be vulnerable to fishing pressure because of their relatively slow growth and the importance of mature breeding individuals. Trawl fishing creates additional environmental concerns through non-target catch and disturbance of seabed habitats."
39,Fish,Kerapu Sunoh / Kerapu Bara,Coral Trout / Leopard Coral Grouper,Plectropomus spp.,Avoid,Malaysia,Hook and line (Wild caught),,,2,,Marine reef fish,A brightly coloured reef grouper associated with coral habitats and highly valued in Southeast Asian seafood markets.,"WWF describes this grouper fishery as data deficient, with no Malaysian stock assessments and indirect indicators showing major declines in fish productivity. The species is vulnerable to fishing pressure and linked to the high-value live reef fish trade. Although single handline is selective and has low habitat impact and bycatch, removal of reef top predators can affect trophic systems, and management is uneven. WWF therefore rates Avoid."
40,Fish,Kerapu Tikus,Humpback Grouper,Cromileptes altivelis,Avoid,Malaysia (Peninsular),Cage culture (Farmed),,,2,,Marine reef fish,"A distinctive grouper with a rounded profile, associated with reef habitats and increasingly encountered in aquaculture.","WWF rates Kerapu Tikus from Peninsular Malaysia farmed using cage culture as Avoid. Kerapu Tikus is a high-value reef-associated grouper that is vulnerable to exploitation and is commonly traded in the live reef fish market. Cage farming can reduce direct capture of adults when hatchery-produced juveniles are used, but sustainability depends on responsible juvenile and feed sourcing and effective management of waste, disease and escapes."
41,Fish,Kerapu Tikus,Humpback Grouper,Cromileptis altivelis,Avoid,Malaysia (Sabah),Cyanide,,,2,,Marine reef fish,"A humpback grouper recognised by its distinctive head and body shape, associated with tropical reef environments.","WWF rates Kerapu Tikus from Sabah caught using cyanide as Avoid. Cyanide fishing involves using poison to stun live reef fish for capture and can damage or kill corals and other reef organisms exposed to the chemical. It can also cause stress and mortality in captured fish. Because coral reefs provide essential habitat for Kerapu Tikus and many other marine species, this destructive fishing method can harm both the target population and the wider reef ecosystem."
42,Fish,Kerepoh,Bigeye Trevally,Caranx sexfasciatus,Avoid,Malaysia,Trawl (Wild caught),,,2,,Marine pelagic fish,"A large trevally with a powerful build, commonly found around coastal reefs and deeper tropical waters.","WWF rates Malaysian Kerepoh caught using trawl as Avoid. Kerepoh is a predatory fish associated with coastal and reef environments. Trawl fishing can capture juvenile and non-target marine species alongside the target catch and can disturb seabed habitats when the gear contacts the bottom. These environmental impacts, together with fishing pressure on larger predatory fish, create sustainability concerns for this source."
43,Fish,Kerisi,Treadfin Breams,Nemipterus japiconus,Reduce,Malaysia,Trawl (Wild caught),,,2,,Marine demersal fish,A small to medium coastal bream found over sandy or muddy bottoms and widely represented in Asian fisheries.,"WWF rates Malaysian Kerisi caught using trawl as Reduce. Kerisi are bottom-associated fish commonly found over sandy and muddy substrates in coastal and offshore waters. Trawling operates directly within these habitats and can capture non-target species while disturbing seabed communities. Managing fishing effort, bycatch and habitat impacts is therefore important for improving the sustainability of this fishery."
44,Fish,Kikek,Ponyfish,Leiognathus spp.,Reduce,Malaysia (Sabah),Lift Nets (WIld caught),,,2,,Marine demersal fish,Small schooling ponyfish associated with coastal waters and sandy or muddy seabeds.,"WWF rates Kikek from Sabah caught using lift nets as Reduce. Kikek is a small coastal fish commonly found in shallow marine waters and estuaries. Lift nets can target schooling fish with relatively little contact with the seabed, but they may capture juvenile and non-target fish depending on mesh size and fishing location. Managing fishing pressure and unwanted catch is therefore important for maintaining the sustainability of this fishery."
45,Fish,Kunyit-kunyit,Brownstripe Red Snapper,Lutjanus vitta,Avoid,Malaysia,Trawl (Wild caught),,,2,,Marine reef fish,A small red snapper associated with tropical coastal habitats and commonly caught by bottom-oriented fishing gears.,"WWF rates Malaysian Kunyit-kunyit caught using trawl as Avoid. Kunyit-kunyit is a reef-associated snapper found in coastal waters and around coral and rocky habitats. Trawling can capture juvenile and non-target marine species and may disturb seabed habitats where the gear contacts the bottom. These impacts, together with fishing pressure on reef-associated fish populations, create sustainability concerns for this source."
46,Fish,Kurau,Striped Threadfin,Polydactylus plebeius,Reduce,Malaysia,Drift/ Gillnets (WIld caught),,,2,,Marine-estuarine fish,A long-bodied threadfin that lives in coastal and estuarine waters and is valued for its firm flesh.,"WWF rates Malaysian Kurau caught using drift nets and gillnets as Reduce. Kurau is a commercially valuable coastal fish commonly associated with shallow waters, estuaries and muddy habitats. Gillnets can effectively target particular sizes of fish, but they can also accidentally entangle non-target marine animals. Maintaining healthy breeding populations and reducing unwanted catch are important for improving the sustainability of this fishery."
47,Fish,Mameng,Humphead Wrasse,Cheilinus undulatus,Avoid,Malaysia (Sabah),Hook and line (Wild caught),,,2,,Marine reef fish,"A large, slow-growing wrasse closely associated with coral reefs and recognisable by its thick lips and hump-shaped head.","WWF identifies Humphead Wrasse as a long-lived, slow-breeding coral-reef species and notes that it can reach very large sizes. It is listed as Endangered on the IUCN Red List and in CITES Appendix II. WWF identifies overfishing, habitat destruction, cyanide fishing and fish bombing as threats. These biological and conservation pressures make the Malaysian Sabah wild-caught record Avoid."
48,Fish,Mata Besar / Lolong,Bigeye Scad,Selar crumenophthalmus,Reduce,Malaysia (Peninsular),Purse seine (Wild caught),,,2,,Marine pelagic fish,A schooling scad found in coastal and offshore waters and commonly landed in tropical Southeast Asian fisheries.,"WWF rates Mata Besar / Lolong from Peninsular Malaysia caught using purse seine as Reduce. This schooling coastal fish forms large aggregations that can be efficiently targeted by purse seines. Although purse seine fishing generally has limited direct contact with seabed habitats, large catches can place pressure on stocks if fishing effort is not effectively controlled. Maintaining appropriate harvest levels is therefore important for sustaining the population."
49,Fish,Parang,Dorab Wolf-herring,Chirocentrus dorab,Avoid,Malaysia (Peninsular),Trawl (Wild caught),,,2,,Marine pelagic fish,"A long, slender marine predator with a streamlined body, often found in tropical coastal and open-water habitats.","WWF rates Parang from Peninsular Malaysia caught using trawl as Avoid. Parang is a predatory coastal fish found in marine and estuarine waters. Trawl fishing can capture non-target fish and other marine organisms alongside the target catch and may disturb seabed habitats. These impacts, combined with fishing pressure on the target population, create sustainability concerns for this source."
50,Fish,Pari,All Rays,Chondrichthyes,Avoid,Malaysia and Global,Trawl/ Gillnets ((Wild caught),,,2,,Marine cartilaginous fish,"A broad group of rays with flattened bodies and wing-like fins, found across many marine habitats.","WWF states that overfishing is the largest threat to rays. Some ray fins enter the shark-fin trade, while ray and skate meat is also consumed in coastal communities. Because the category covers multiple ray groups and the assessed fisheries use trawls and gillnets, WWF places the record in Avoid to reduce pressure on vulnerable ray populations and associated marine ecosystems."
51,Fish,Patin,Pangasius,Pangasius bocourti,Best Choice,Vietnam,Farmed,ASC,,2,,Freshwater fish,"A freshwater catfish farmed widely in Southeast Asia, valued for its mild flavour and soft, white flesh.","WWF rates Vietnamese farmed Pangasius Best Choice and records Aquaculture Stewardship Council certification. The guide's Best Choice category is for preferred seafood from well-managed stocks or aquaculture considered lower impact, while ASC certification provides an additional signal of responsible farming and traceability. For this record, the combination of farmed production and ASC certification supports the preferred-choice rating."
52,Fish,Pelata,Blackfin Scad,Alepes melanoptera,Reduce,Malaysia,Purse seine (Wild caught),,,2,,Marine pelagic fish,A small tropical scad that forms schools in coastal waters and is commonly caught by purse seine fisheries.,"WWF rates Malaysian Pelata caught using purse seine as Reduce. Pelata is a small schooling fish found in coastal and offshore waters and forms part of the food supply for larger marine predators. Purse seines can efficiently harvest large schools with relatively little direct seabed impact, but excessive fishing can reduce the abundance of the target population. Appropriate control of fishing effort is therefore important for maintaining healthy stocks."
