wwf_row_id,seafood_category,main_common_name,secondary_common_name,scientific_name,sustainability_rating,origin,production_method_final,certification,alternatives_under_wwf_malaysia_improvement_project,source_pdf_page,canonical_fish_id,fish_type,description,short description,context
39,Fish,Kerapu Sunoh / Kerapu Bara,Coral Trout / Leopard Coral Grouper,Plectropomus spp.,Avoid,Malaysia,Hook and line (Wild caught),,,2,,Marine reef fish,A brightly coloured reef grouper associated with coral habitats and highly valued in Southeast Asian seafood markets.,Brightly coloured reef grouper highly valued in Southeast Asian markets.,"WWF describes this grouper fishery as data deficient, with no Malaysian stock assessments and major declines in fish productivity. The species is vulnerable to fishing pressure and linked to the high-value live reef fish trade. Although handline can be selective, removing reef predators can affect food webs and management is uneven, supporting Avoid."
40,Fish,Kerapu Tikus,Humpback Grouper,Cromileptes altivelis,Avoid,Malaysia (Peninsular),Cage culture (Farmed),,,2,,Marine reef fish,"A distinctive grouper with a rounded profile, associated with reef habitats and increasingly encountered in aquaculture.",Distinctive grouper associated with reefs and increasingly found in aquaculture.,WWF rates Kerapu Tikus Avoid for the stated Malaysia (Peninsular) Cage culture record. Avoid covers unsustainable or overfished fisheries and aquaculture systems with negative environmental impacts. SukaSeafood should communicate this as a high-risk choice without adding unsupported reasons.
41,Fish,Kerapu Tikus,Humpback Grouper,Cromileptis altivelis,Avoid,Malaysia (Sabah),Cyanide,,,2,,Marine reef fish,"A humpback grouper recognised by its distinctive head and body shape, associated with tropical reef environments.",Humpback grouper with a distinctive head and body shape.,WWF rates Kerapu Tikus Avoid for the stated Malaysia (Sabah) Cyanide record. Avoid covers unsustainable or overfished fisheries and aquaculture systems with negative environmental impacts. SukaSeafood should communicate this as a high-risk choice without adding unsupported reasons.
42,Fish,Kerepoh,Bigeye Trevally,Caranx sexfasciatus,Avoid,Malaysia,Trawl (Wild caught),,,2,,Marine pelagic fish,"A large trevally with a powerful build, commonly found around coastal reefs and deeper tropical waters.","Large, powerful trevally found around coastal reefs and deeper waters.",WWF rates Kerepoh Avoid for the stated Malaysia Trawl record. Avoid covers unsustainable or overfished fisheries and aquaculture systems with negative environmental impacts. SukaSeafood should communicate this as a high-risk choice without adding unsupported reasons.
43,Fish,Kerisi,Treadfin Breams,Nemipterus japiconus,Reduce,Malaysia,Trawl (Wild caught),,,2,,Marine demersal fish,A small to medium coastal bream found over sandy or muddy bottoms and widely represented in Asian fisheries.,Small to medium bream found over sandy or muddy bottoms.,WWF rates Kerisi Reduce for the stated Malaysia Trawl record. Reduce covers fisheries at risk of becoming unsustainable or aquaculture with environmental risks. Consumers are advised to eat it occasionally when Best Choice options are unavailable.
44,Fish,Kikek,Ponyfish,Leiognathus spp.,Reduce,Malaysia (Sabah),Lift Nets (WIld caught),,,2,,Marine demersal fish,Small schooling ponyfish associated with coastal waters and sandy or muddy seabeds.,Small schooling ponyfish associated with coastal waters and soft seabeds.,WWF rates Kikek Reduce for the stated Malaysia (Sabah) Lift Nets record. Reduce covers fisheries at risk of becoming unsustainable or aquaculture with environmental risks. Consumers are advised to eat it occasionally when Best Choice options are unavailable.
45,Fish,Kunyit-kunyit,Brownstripe Red Snapper,Lutjanus vitta,Avoid,Malaysia,Trawl (Wild caught),,,2,,Marine reef fish,A small red snapper associated with tropical coastal habitats and commonly caught by bottom-oriented fishing gears.,Small red snapper commonly caught around tropical coastal habitats.,WWF rates Kunyit-kunyit Avoid for the stated Malaysia Trawl record. Avoid covers unsustainable or overfished fisheries and aquaculture systems with negative environmental impacts. SukaSeafood should communicate this as a high-risk choice without adding unsupported reasons.
46,Fish,Kurau,Striped Threadfin,Polydactylus plebeius,Reduce,Malaysia,Drift/ Gillnets (WIld caught),,,2,,Marine-estuarine fish,A long-bodied threadfin that lives in coastal and estuarine waters and is valued for its firm flesh.,"Long-bodied threadfin from coastal and estuarine waters, valued for firm flesh.",WWF rates Kurau Reduce for the stated Malaysia Drift/ Gillnets record. Reduce covers fisheries at risk of becoming unsustainable or aquaculture with environmental risks. Consumers are advised to eat it occasionally when Best Choice options are unavailable.
47,Fish,Mameng,Humphead Wrasse,Cheilinus undulatus,Avoid,Malaysia (Sabah),Hook and line (Wild caught),,,2,,Marine reef fish,"A large, slow-growing wrasse closely associated with coral reefs and recognisable by its thick lips and hump-shaped head.",Large slow-growing wrasse closely associated with coral reefs.,"WWF identifies Humphead Wrasse as a long-lived, slow-breeding reef species. It is Endangered on the IUCN Red List and listed in CITES Appendix II. Overfishing, habitat destruction, cyanide fishing and fish bombing are major threats, making the Malaysian Sabah wild-caught record an Avoid choice."
48,Fish,Mata Besar / Lolong,Bigeye Scad,Selar crumenophthalmus,Reduce,Malaysia (Peninsular),Purse seine (Wild caught),,,2,,Marine pelagic fish,A schooling scad found in coastal and offshore waters and commonly landed in tropical Southeast Asian fisheries.,Schooling scad found in coastal and offshore tropical waters.,WWF rates Mata Besar / Lolong Reduce for the stated Malaysia (Peninsular) Purse seine record. Reduce covers fisheries at risk of becoming unsustainable or aquaculture with environmental risks. Consumers are advised to eat it occasionally when Best Choice options are unavailable.
49,Fish,Parang,Dorab Wolf-herring,Chirocentrus dorab,Avoid,Malaysia (Peninsular),Trawl (Wild caught),,,2,,Marine pelagic fish,"A long, slender marine predator with a streamlined body, often found in tropical coastal and open-water habitats.","Long, slender marine predator found in tropical coastal and open waters.",WWF rates Parang Avoid for the stated Malaysia (Peninsular) Trawl record. Avoid covers unsustainable or overfished fisheries and aquaculture systems with negative environmental impacts. SukaSeafood should communicate this as a high-risk choice without adding unsupported reasons.
50,Fish,Pari,All Rays,Chondrichthyes,Avoid,Malaysia and Global,Trawl/ Gillnets ((Wild caught),,,2,,Marine cartilaginous fish,"A broad group of rays with flattened bodies and wing-like fins, found across many marine habitats.",Flattened marine rays with wing-like fins found across many habitats.,"WWF states overfishing is the largest threat to rays. Some ray fins enter the shark-fin trade, while ray and skate meat is also consumed. Because assessed fisheries use trawls and gillnets and cover vulnerable ray groups, WWF places this record in Avoid to reduce pressure on ray populations and marine ecosystems."
51,Fish,Patin,Pangasius,Pangasius bocourti,Best Choice,Vietnam,Farmed,ASC,,2,,Freshwater fish,"A freshwater catfish farmed widely in Southeast Asia, valued for its mild flavour and soft, white flesh.","Mild, soft-white freshwater catfish widely farmed across Southeast Asia.","WWF rates Vietnamese farmed Pangasius Best Choice and records Aquaculture Stewardship Council certification. Best Choice is for preferred seafood from well-managed stocks or lower-impact aquaculture. For this record, farmed production combined with ASC certification supports the preferred-choice rating and provides an additional signal of responsible farming and traceability."
52,Fish,Pelata,Blackfin Scad,Alepes melanoptera,Reduce,Malaysia,Purse seine (Wild caught),,,2,,Marine pelagic fish,A small tropical scad that forms schools in coastal waters and is commonly caught by purse seine fisheries.,Small tropical schooling scad commonly caught by purse seine fisheries.,WWF rates Pelata Reduce for the stated Malaysia Purse seine record. Reduce covers fisheries at risk of becoming unsustainable or aquaculture with environmental risks. Consumers are advised to eat it occasionally when Best Choice options are unavailable.
53,Fish,Selar Kuning,Yellowtail Scad,Selaroides leptolepis,Avoid,Malaysia,Demersal gillnets (Wild caught),,,2,,Marine pelagic fish,A small yellow-tailed scad associated with tropical coastal waters and commonly caught in nearshore fisheries.,Small yellow-tailed scad common in tropical coastal waters.,"WWF describes this fishery as very data deficient, with biology and vulnerability to fishing mortality not well assessed. Given widespread overfishing in the Indo-Pacific and Malaysia/Indonesia, stocks are considered likely to be overfished. Bottom-set gillnets can also be non-selective and affect protected species, supporting Avoid."
54,Fish,Siakap Merah,Mangrove Red Snapper,Lutjanus argentimaculatus,Avoid,Malaysia (Peninsular),Cage/ Pond culture (Farmed),,AIP,2,,Marine-estuarine fish,A mangrove-associated snapper that can live in estuaries and coastal waters and is valued as a food fish.,Mangrove-associated snapper found in estuaries and coastal waters.,"WWF rates Malaysian Peninsular Mangrove Red Snapper Avoid for cage/pond culture and points consumers toward WWF-Malaysia's Aquaculture Improvement Project. The S.O.S. Guide gives no longer species-specific explanation for this entry, so the user-facing context should focus on the higher-risk conventional farming pathway and the improved AIP alternative."
55,Fish,Siakap Putih,Asian seabass / Barramundi,Lates calcarifer,Avoid,Malaysia,Pond culture (Farmed),,AIP,2,,Marine-estuarine fish,"A versatile Asian seabass found in estuaries, coastal waters and farms, known for its mild flavour and firm flesh.","Mild-flavoured Asian seabass with firm flesh, found wild and farmed.","WWF highlights risks in Malaysian barramundi pond farming, including soil fertility and salinisation effects on soil and water. Some farms also depend on trash fish, creating high Fish Feed Dependency Ratios. Although ponds can reduce disease risk versus open cages, WWF still rates this record Avoid and points to AIP alternatives."
56,Fish,Tamban / Sardin,Sardine,Spratelloides gracilis,Reduce,Malaysia,Purse seine (Wild caught),,,2,,Marine pelagic fish,A small schooling sardine associated with warm coastal waters and widely used as a food fish in Southeast Asia.,Small schooling sardine widely used as food fish in Southeast Asia.,WWF rates Tamban / Sardin Reduce for the stated Malaysia Purse seine record. Reduce covers fisheries at risk of becoming unsustainable or aquaculture with environmental risks. Consumers are advised to eat it occasionally when Best Choice options are unavailable.
57,Fish,Tenggiri,Narrow-barred Spanish Mackerel,Scomberomorus commerson,Reduce,Malaysia,Hook and line (WIld caught),,,2,1,Marine pelagic fish,"A large, fast-swimming mackerel with firm flesh, widely consumed in Malaysia and other tropical Asian markets.","Large fast-swimming mackerel with firm flesh, widely eaten in Malaysia.","WWF assesses the same Narrow-barred Spanish Mackerel differently by fishing method. Hook-and-line is highly selective with lower bycatch and discards, so that record is Reduce; the gillnet record is Avoid. WWF also notes the species is Near Threatened, stocks are not fully assessed across its range and catch data are limited."
58,Fish,Tenggiri,Narrow-barred Spanish Mackerel,Scomberomorus commerson,Avoid,Malaysia,Gillnets (Wild caught),,,2,,Marine pelagic fish,"A large, fast-swimming mackerel with firm flesh, widely consumed in Malaysia and other tropical Asian markets.","Large fast-swimming mackerel with firm flesh, widely eaten in Malaysia.",WWF rates Tenggiri Avoid for the stated Malaysia Gillnets record. Avoid covers unsustainable or overfished fisheries and aquaculture systems with negative environmental impacts. SukaSeafood should communicate this as a high-risk choice without adding unsupported reasons.
59,Fish,Terubok,Longtail Shad,Tenualosa macrura,Reduce,Malaysia,Gillnets (Wild caught),,,2,,Anadromous fish,"A long-bodied shad associated with coastal waters and river-influenced habitats, important in regional fisheries.",Long-bodied shad associated with coastal waters and river-influenced habitats.,WWF rates Terubok Reduce for the stated Malaysia Gillnets record. Reduce covers fisheries at risk of becoming unsustainable or aquaculture with environmental risks. Consumers are advised to eat it occasionally when Best Choice options are unavailable.
60,Fish,Tilapia,Tilapia,Oreochromis Niloticus,Reduce,Malaysia,Cage/ Pond culture (Farmed),,,2,,Freshwater fish,"A hardy freshwater tilapia commonly farmed for its mild flavour, firm flesh and adaptable production conditions.","Hardy freshwater fish widely farmed for its mild, firm flesh.","WWF provides two Malaysian tilapia assessments. The general cage/pond-culture record is Reduce, while the Hulu Perak cage-culture record is Best Choice and ASC certified. WWF notes ASC-certified tilapia is available from Tasik Temenggor, Perak, showing that production location and responsible farming practices can materially change the sustainability assessment."
61,Fish,Tilapia,Tilapia,Oreochromis Niloticus,Best Choice,Malaysia (Hulu Perak),Cage Culture (Farmed),ASC,,2,,Freshwater fish,"A farmed Nile tilapia associated with freshwater culture systems and valued as an accessible, mild-flavoured food fish.",Farmed Nile tilapia valued for its mild flavour and accessible production.,"WWF rates Tilapia Best Choice for the stated Malaysia (Hulu Perak) Cage Culture record. Best Choice is reserved for preferred seafood from well-managed, non-overexploited fisheries or lower-impact aquaculture. WWF therefore presents this record as a preferred seafood option."
62,Fish,Tongkol,Longtail Tuna,Thunnus tonggol,Reduce,Malaysia,Purse seine (Wild caught),,,2,,Marine pelagic fish,A tropical tuna that lives in coastal and offshore waters and is widely used in Southeast Asian fisheries.,Tropical tuna found in coastal and offshore Southeast Asian waters.,WWF rates Tongkol Reduce for the stated Malaysia Purse seine record. Reduce covers fisheries at risk of becoming unsustainable or aquaculture with environmental risks. Consumers are advised to eat it occasionally when Best Choice options are unavailable.
63,Fish,Tongkol Kurik,Eastern Little Tuna,Euthynnus affinis,Reduce,Malaysia,Purse seine (Wild caught),,,2,,Marine pelagic fish,"A small tropical tuna with firm flesh, commonly found in warm coastal and offshore waters.",Small tropical tuna with firm flesh from warm coastal waters.,WWF rates Tongkol Kurik Reduce for the stated Malaysia Purse seine record. Reduce covers fisheries at risk of becoming unsustainable or aquaculture with environmental risks. Consumers are advised to eat it occasionally when Best Choice options are unavailable.
