wwf_row_id,seafood_category,main_common_name,secondary_common_name,scientific_name,sustainability_rating,origin,production_method_final,certification,alternatives_under_wwf_malaysia_improvement_project,source_pdf_page,canonical_fish_id,fish_type,description,context
11,Fish,Bakulan,Skipjack,Katsuwonus pelamis,Reduce,Malaysia (Sabah),Purse seine (Wild caught),,,1,,Marine pelagic fish,A small tropical tuna that travels in schools through warm ocean waters and is widely used in Southeast Asian fisheries.,WWF rates Bakulan Reduce for the stated Malaysia (Sabah) purse seine (wild caught) context. The S.O.S. Guide does not provide an additional species-specific note for this record. WWF defines Reduce as seafood from fisheries at risk of becoming unsustainable or aquaculture that may carry environmental risks. Consumers are advised to eat it only occasionally when Best Choice options are unavailable.
12,Fish,Bangkuli / Balat,Sandfish,Holothuria scabra,Avoid,Malaysia (Sabah),Sea Pen (Farmed),,,1,,Marine echinoderm,"A sea cucumber species living on shallow sandy and muddy seabeds, harvested for its dried sea-cucumber product.",WWF rates Bangkuli / Balat Avoid for the stated Malaysia (Sabah) sea pen (farmed) context. The S.O.S. Guide does not provide an additional species-specific note for this record. WWF defines Avoid as covering unsustainable or overfished fisheries and aquaculture systems that cause negative environmental impacts. SukaSeafood should communicate this as a high-risk choice and avoid adding unsupported reasons.
13,Fish,Bawal Emas,Snubnose Pompano,Trachinotus blochii,Best Choice,Malaysia (Peninsular),Cage Culture (Farmed),,,1,,Marine fish,"A warm-water pompano with a streamlined body, often associated with coastal waters and marine aquaculture.","WWF rates Bawal Emas Best Choice for Malaysian Peninsular cage culture. The guide describes snubnose pompano as an Indo-Pacific species associated with rocky reefs, coral reefs and inshore habitats and notes that it is a popular aquaculture species in Malaysia. WWF's Best Choice category is reserved for preferred seafood from well-managed stocks or lower-impact aquaculture."
14,Fish,Bawal Hitam,Black Pomfret,Parastromateus niger,Reduce,Malaysia,Trawl (Wild caught),,,1,,Marine demersal fish,"A deep-bodied pomfret with a distinctive dark body, commonly sold in Malaysian seafood markets.",WWF rates Bawal Hitam Reduce for the stated Malaysia trawl (wild caught) context. The S.O.S. Guide does not provide an additional species-specific note for this record. WWF defines Reduce as seafood from fisheries at risk of becoming unsustainable or aquaculture that may carry environmental risks. Consumers are advised to eat it only occasionally when Best Choice options are unavailable.
15,Fish,Bawal Putih,Chinese Silver Pomfret,Pampus chinensis,Avoid,Malaysia,Gillnets (Wild caught),,,1,,Marine demersal fish,A silver-bodied pomfret found over muddy coastal seabeds and widely consumed across Asian markets.,"WWF notes that Chinese Silver Pomfret occurs seasonally, usually singly or in small schools over muddy bottoms, and may enter estuaries. The guide states that it is mainly caught by trawl and describes trawling as highly detrimental because it is non-selective, prone to habitat destruction and can create bycatch of endangered, threatened and protected species. These impacts support Avoid."
16,Fish,Belanak,Longfin Grey Mullet,Valamugil cunnesius,Best Choice,Malaysia,Gillnets (Wild caught),,,1,,Marine-estuarine fish,"A coastal mullet associated with estuaries and shallow waters, recognised for its elongated body and fine-textured flesh.","WWF rates Belanak Best Choice for the stated Malaysia gillnets (wild caught) context. The S.O.S. Guide does not provide an additional species-specific note for this record. Under WWF's published framework, Best Choice is reserved for well-managed, non-overexploited fisheries or aquaculture assessed as lower impact. WWF therefore presents this record as a preferred seafood option."
17,Fish,Bulu Ayam (Ikan Masin),Grenadler Anchovy,Coilia spp.,Reduce,Malaysia (Peninsular),Other Seine (Wild caught),,,1,,Marine pelagic fish,A small anchovy-like fish used locally as dried or salted seafood and associated with Malaysian coastal fisheries.,WWF rates Bulu Ayam (Ikan Masin) Reduce for the stated Malaysia (Peninsular) other seine (wild caught) context. The S.O.S. Guide does not provide an additional species-specific note for this record. WWF defines Reduce as seafood from fisheries at risk of becoming unsustainable or aquaculture that may carry environmental risks. Consumers are advised to eat it only occasionally when Best Choice options are unavailable.
18,Fish,Bulus,Silver Sillago,Sillago sihama,Avoid,Malaysia,Trawl (Wild caught),,,1,,Marine demersal fish,A small silver fish that lives over sandy and muddy coastal bottoms and is commonly caught in nearshore fisheries.,WWF rates Bulus Avoid for the stated Malaysia trawl (wild caught) context. The S.O.S. Guide does not provide an additional species-specific note for this record. WWF defines Avoid as covering unsustainable or overfished fisheries and aquaculture systems that cause negative environmental impacts. SukaSeafood should communicate this as a high-risk choice and avoid adding unsupported reasons.
19,Fish,Cencaru,Hardtail Scad,Megalaspis cordyla,Best Choice,Malaysia,Purse seine/ Gillnet Trawl (Wild caught),,,1,,Marine pelagic fish,A robust coastal scad that forms schools in tropical waters and is a familiar fish in Malaysian markets.,"WWF rates Cencaru Best Choice for the stated Malaysia purse seine/ gillnet trawl (wild caught) context. The S.O.S. Guide does not provide an additional species-specific note for this record. Under WWF's published framework, Best Choice is reserved for well-managed, non-overexploited fisheries or aquaculture assessed as lower impact. WWF therefore presents this record as a preferred seafood option."
20,Fish,Chinook Salmon,-,Oncorhynchus tshawytscha,Best Choice,Alaska,Pelagic gillnets (Wild caught),,,1,,Anadromous fish,"A large Pacific salmon known for its rich flavour and dark flesh, migrating between the ocean and freshwater rivers.","WWF says Alaskan Chinook salmon fisheries are managed by the Alaska Department of Fish and Game and that the cited stocks are healthy. The guide notes commercial regulations for individual fishing areas, participation in Fishery Improvement Projects and partial MSC certification. These stock and management measures support the Best Choice classification for the Alaskan fishery."
21,Fish,Gamat / Timun Laut,Sea Cucumber,Stichopus horrens,Avoid,Malaysia,Hand Collection,,,1,,Marine echinoderm,"A sea cucumber found on shallow reef and coastal seabeds, harvested as a marine invertebrate seafood product.",WWF rates Gamat / Timun Laut Avoid for the stated Malaysia hand collection context. The S.O.S. Guide does not provide an additional species-specific note for this record. WWF defines Avoid as covering unsustainable or overfished fisheries and aquaculture systems that cause negative environmental impacts. SukaSeafood should communicate this as a high-risk choice and avoid adding unsupported reasons.
22,Fish,Hoki,-,Macruronus novaezelandiae,Reduce,New Zealand,Mid-water trawl (Wild caught),,,1,,Marine demersal fish,A long-bodied cold-water fish commonly caught around New Zealand and used widely as a white-fleshed seafood.,"WWF notes that New Zealand hoki is caught with mid-water otter trawls. Bycatch is estimated at about 12% of catch and juveniles at 20–30%, while interactions with endangered, threatened and protected species may be high. Discard rates are low and seabed contact is considered unlikely, limiting habitat impact. The combination of risks and mitigations leads WWF to Reduce."
23,Fish,Ikan Bilis,Anchovies,Stolephorus spp.,Reduce,Malaysia,Purse seine/ Lift nets (Wild caught),,,1,,Marine pelagic fish,"Small schooling anchovies widely used fresh, dried or fermented in Malaysian cuisine and coastal food traditions.",WWF rates Ikan Bilis Reduce for the stated Malaysia purse seine/ lift nets (wild caught) context. The S.O.S. Guide does not provide an additional species-specific note for this record. WWF defines Reduce as seafood from fisheries at risk of becoming unsustainable or aquaculture that may carry environmental risks. Consumers are advised to eat it only occasionally when Best Choice options are unavailable.
24,Fish,Ikan Delah / Tauhu,Yellowtail Fusiler,Caesio cuning,Avoid,Malaysia,Pelagic gillnets (Wild caught),,,1,,Marine reef fish,"A colourful fusilier that forms schools around reefs and coastal waters, often encountered in tropical Southeast Asian fisheries.","WWF describes this fishery as data deficient, with no stock characterisation or indirect stock-status indicators in Malaysia and limited information on the species' biology. Given widespread overfishing across the Indo-Pacific, WWF considers stocks likely to be overfished or undergoing overfishing. The guide also says bottom-set gillnets are non-selective and can have high impacts on endangered, threatened and protected species. This supports Avoid."
25,Fish,Ikan Gelama,Croakers,Sciaenidae spp.,Avoid,Malaysia,Bottom Trawl (Wild caught),,,1,,Marine demersal fish,A group of coastal croakers that often live near muddy bottoms and estuaries and produce characteristic drumming sounds.,WWF rates Ikan Gelama Avoid for the stated Malaysia bottom trawl (wild caught) context. The S.O.S. Guide does not provide an additional species-specific note for this record. WWF defines Avoid as covering unsustainable or overfished fisheries and aquaculture systems that cause negative environmental impacts. SukaSeafood should communicate this as a high-risk choice and avoid adding unsupported reasons.
26,Fish,Ikan Merah,Red Snapper,Lutjanus sebae,Reduce,Malaysia (East Coast &,Hook and line (Wild caught),,AIP,1,,Marine reef fish,"A red snapper associated with reefs and coastal waters, known for firm flesh and a bright reddish body.",WWF rates Ikan Merah Reduce for the stated Malaysia (East Coast & hook and line (wild caught) context. The S.O.S. Guide does not provide an additional species-specific note for this record. WWF defines Reduce as seafood from fisheries at risk of becoming unsustainable or aquaculture that may carry environmental risks. Consumers are advised to eat it only occasionally when Best Choice options are unavailable.
27,Fish,Ikan Sebelah,Flounder,Pseudorhombus malayanus,Avoid,Malaysia,Trawl (Wild caught),,,1,,Marine demersal fish,"A bottom-dwelling flatfish with both eyes on one side of its body, living mainly over sandy or muddy seabeds.",WWF rates Ikan Sebelah Avoid for the stated Malaysia trawl (wild caught) context. The S.O.S. Guide does not provide an additional species-specific note for this record. WWF defines Avoid as covering unsustainable or overfished fisheries and aquaculture systems that cause negative environmental impacts. SukaSeafood should communicate this as a high-risk choice and avoid adding unsupported reasons.
28,Fish,Ikan Selar,Common Scad,Decapterus akaadsi,Reduce,Malaysia,Purse seine (Wild caught),,,1,,Marine pelagic fish,A small schooling scad common in tropical waters and a familiar fish in Malaysian seafood markets.,"WWF notes that Common Scad is a schooling species found mainly in open water and commonly around insular habitats, with catches often coming from roughly 40–200 metres. The guide says stock health and species biology information is lacking, creating uncertainty about sustainability. Purse seine is described as the common and more selective harvest method, so WWF assigns Reduce rather than Avoid."
29,Fish,Jenahak,John's Snapper,Lutjanus johnii,Avoid,Malaysia,Trawl (Wild caught),,AIP,1,,Marine reef fish,"A snapper associated with coastal and reef habitats, recognised for its coppery-red body and firm flesh.","WWF reports that no stock assessments are available for John's Snapper and that the species is highly vulnerable to fishing pressure. Regional fisheries are considered significantly overfished, while bottom trawling can threaten turtles and damage corals and other benthic organisms. The guide also notes high catches of juveniles and non-target fish and insufficient information to judge management effectiveness. These factors support Avoid."
30,Fish,Jerung / Yu,All Sharks,Elasmobranchii,Avoid,Malaysia and Global,Trawl/ Hook and line (Wild caught),,,1,,Marine cartilaginous fish,A broad group of sharks that occupy many marine habitats and play important roles as ocean predators.,"WWF highlights overfishing and demand for shark fins and meat as major pressures on sharks. The guide also emphasises that sharks are important predators within marine ecosystems and that WWF is working to reduce unsustainable fishing and demand. Given these conservation pressures and the Malaysia/global wild-caught context, the entire shark category is placed in Avoid."
31,Fish,Kekacang,Pickhandle Barracuda,Sphyraena jello,Avoid,Malaysia,Trawl (Wild caught),,,1,,Marine pelagic fish,"A fast predatory barracuda found in tropical coastal waters, recognisable by its elongated body and strong jaws.",WWF rates Kekacang Avoid for the stated Malaysia trawl (wild caught) context. The S.O.S. Guide does not provide an additional species-specific note for this record. WWF defines Avoid as covering unsustainable or overfished fisheries and aquaculture systems that cause negative environmental impacts. SukaSeafood should communicate this as a high-risk choice and avoid adding unsupported reasons.
32,Fish,Kembung / Pelaling,Indian Mackerel,Rastrelliger kanagurta,Reduce,Malaysia,Purse seine (Wild caught),,,1,,Marine pelagic fish,"A small schooling mackerel widely eaten in Malaysia, with oily flesh and a strong place in everyday local cuisine.",WWF rates Kembung / Pelaling Reduce for the stated Malaysia purse seine (wild caught) context. The S.O.S. Guide does not provide an additional species-specific note for this record. WWF defines Reduce as seafood from fisheries at risk of becoming unsustainable or aquaculture that may carry environmental risks. Consumers are advised to eat it only occasionally when Best Choice options are unavailable.
33,Fish,Kerapu Bebeh,Sixbar Grouper,Epinephelus sexfasciatus,Avoid,Malaysia (Peninsular),Trawl (Wild caught),,,1,,Marine reef fish,"A small grouper associated with reef and rocky coastal habitats and valued for its firm, white flesh.",WWF rates Kerapu Bebeh Avoid for the stated Malaysia (Peninsular) trawl (wild caught) context. The S.O.S. Guide does not provide an additional species-specific note for this record. WWF defines Avoid as covering unsustainable or overfished fisheries and aquaculture systems that cause negative environmental impacts. SukaSeafood should communicate this as a high-risk choice and avoid adding unsupported reasons.
34,Fish,Kerapu Bintik,Orange Spotted Grouper,Epinephelus coioides,Avoid,Malaysia,Bottom Trawl (Wild caught),,,1,,Marine reef fish,"A reef-associated grouper found in tropical coastal waters, commonly sold as a premium food fish in Southeast Asia.","WWF notes that Orange Spotted Grouper uses coastal habitats including mangroves, coral reefs, estuaries, shallow seas and saline lagoons. It is commonly caught by bottom trawl, which the guide describes as highly detrimental because the gear is non-selective, can damage habitat and can produce bycatch of endangered, threatened and protected species. The combined habitat and fishing-method risks support Avoid."
35,Fish,Kerapu Ekor Gelap,Duskytail Grouper,Epinephelus bleekeri,Avoid,Malaysia (Peninsular),Trawl (Wild caught),,,2,,Marine reef fish,"A grouper associated with tropical coastal habitats, with a sturdy body and firm, white flesh.",WWF rates Kerapu Ekor Gelap Avoid for the stated Malaysia (Peninsular) trawl (wild caught) context. The S.O.S. Guide does not provide an additional species-specific note for this record. WWF defines Avoid as covering unsustainable or overfished fisheries and aquaculture systems that cause negative environmental impacts. SukaSeafood should communicate this as a high-risk choice and avoid adding unsupported reasons.
36,Fish,Kerapu Harimau,Brown-marble Grouper,Epinephelus fuscoguttatus,Reduce,Malaysia (Peninsular),Cage Culture (Farmed),,,2,,Marine reef fish,"A large, reef-associated grouper with a marbled pattern, commonly produced through marine cage aquaculture.",WWF rates Kerapu Harimau Reduce for the stated Malaysia (Peninsular) cage culture (farmed) context. The S.O.S. Guide does not provide an additional species-specific note for this record. WWF defines Reduce as seafood from fisheries at risk of becoming unsustainable or aquaculture that may carry environmental risks. Consumers are advised to eat it only occasionally when Best Choice options are unavailable.
37,Fish,Kerapu Kertang,Giant Grouper,Epinephelus lanceolatus,Avoid,Malaysia (Peninsular),Cage Culture (Farmed),,,2,,Marine reef fish,"A very large grouper that can inhabit reefs and coastal waters, reaching exceptional size compared with many groupers.",WWF rates Kerapu Kertang Avoid for the stated Malaysia (Peninsular) cage culture (farmed) context. The S.O.S. Guide does not provide an additional species-specific note for this record. WWF defines Avoid as covering unsustainable or overfished fisheries and aquaculture systems that cause negative environmental impacts. SukaSeafood should communicate this as a high-risk choice and avoid adding unsupported reasons.
38,Fish,Kerapu Lumpur,Malabar Grouper,Epinephelus malabaricus,Avoid,Malaysia (Peninsular),Trawl (Wild caught),,,2,,Marine reef fish,"A large tropical grouper associated with coastal and reef habitats and known for its firm, white flesh.",WWF rates Kerapu Lumpur Avoid for the stated Malaysia (Peninsular) trawl (wild caught) context. The S.O.S. Guide does not provide an additional species-specific note for this record. WWF defines Avoid as covering unsustainable or overfished fisheries and aquaculture systems that cause negative environmental impacts. SukaSeafood should communicate this as a high-risk choice and avoid adding unsupported reasons.
39,Fish,Kerapu Sunoh / Kerapu Bara,Coral Trout / Leopard Coral Grouper,Plectropomus spp.,Avoid,Malaysia,Hook and line (Wild caught),,,2,,Marine reef fish,A brightly coloured reef grouper associated with coral habitats and highly valued in Southeast Asian seafood markets.,"WWF describes this grouper fishery as data deficient, with no Malaysian stock assessments and indirect indicators showing major declines in fish productivity. The species is vulnerable to fishing pressure and linked to the high-value live reef fish trade. Although single handline is selective and has low habitat impact and bycatch, removal of reef top predators can affect trophic systems, and management is uneven. WWF therefore rates Avoid."
40,Fish,Kerapu Tikus,Humpback Grouper,Cromileptes altivelis,Avoid,Malaysia (Peninsular),Cage culture (Farmed),,,2,,Marine reef fish,"A distinctive grouper with a rounded profile, associated with reef habitats and increasingly encountered in aquaculture.",WWF rates Kerapu Tikus Avoid for the stated Malaysia (Peninsular) cage culture (farmed) context. The S.O.S. Guide does not provide an additional species-specific note for this record. WWF defines Avoid as covering unsustainable or overfished fisheries and aquaculture systems that cause negative environmental impacts. SukaSeafood should communicate this as a high-risk choice and avoid adding unsupported reasons.
41,Fish,Kerapu Tikus,Humpback Grouper,Cromileptis altivelis,Avoid,Malaysia (Sabah),Cyanide,,,2,,Marine reef fish,"A humpback grouper recognised by its distinctive head and body shape, associated with tropical reef environments.",WWF rates Kerapu Tikus Avoid for the stated Malaysia (Sabah) cyanide context. The S.O.S. Guide does not provide an additional species-specific note for this record. WWF defines Avoid as covering unsustainable or overfished fisheries and aquaculture systems that cause negative environmental impacts. SukaSeafood should communicate this as a high-risk choice and avoid adding unsupported reasons.
42,Fish,Kerepoh,Bigeye Trevally,Caranx sexfasciatus,Avoid,Malaysia,Trawl (Wild caught),,,2,,Marine pelagic fish,"A large trevally with a powerful build, commonly found around coastal reefs and deeper tropical waters.",WWF rates Kerepoh Avoid for the stated Malaysia trawl (wild caught) context. The S.O.S. Guide does not provide an additional species-specific note for this record. WWF defines Avoid as covering unsustainable or overfished fisheries and aquaculture systems that cause negative environmental impacts. SukaSeafood should communicate this as a high-risk choice and avoid adding unsupported reasons.
43,Fish,Kerisi,Treadfin Breams,Nemipterus japiconus,Reduce,Malaysia,Trawl (Wild caught),,,2,,Marine demersal fish,A small to medium coastal bream found over sandy or muddy bottoms and widely represented in Asian fisheries.,WWF rates Kerisi Reduce for the stated Malaysia trawl (wild caught) context. The S.O.S. Guide does not provide an additional species-specific note for this record. WWF defines Reduce as seafood from fisheries at risk of becoming unsustainable or aquaculture that may carry environmental risks. Consumers are advised to eat it only occasionally when Best Choice options are unavailable.
44,Fish,Kikek,Ponyfish,Leiognathus spp.,Reduce,Malaysia (Sabah),Lift Nets (WIld caught),,,2,,Marine demersal fish,Small schooling ponyfish associated with coastal waters and sandy or muddy seabeds.,WWF rates Kikek Reduce for the stated Malaysia (Sabah) lift nets (wild caught) context. The S.O.S. Guide does not provide an additional species-specific note for this record. WWF defines Reduce as seafood from fisheries at risk of becoming unsustainable or aquaculture that may carry environmental risks. Consumers are advised to eat it only occasionally when Best Choice options are unavailable.
45,Fish,Kunyit-kunyit,Brownstripe Red Snapper,Lutjanus vitta,Avoid,Malaysia,Trawl (Wild caught),,,2,,Marine reef fish,A small red snapper associated with tropical coastal habitats and commonly caught by bottom-oriented fishing gears.,WWF rates Kunyit-kunyit Avoid for the stated Malaysia trawl (wild caught) context. The S.O.S. Guide does not provide an additional species-specific note for this record. WWF defines Avoid as covering unsustainable or overfished fisheries and aquaculture systems that cause negative environmental impacts. SukaSeafood should communicate this as a high-risk choice and avoid adding unsupported reasons.
46,Fish,Kurau,Striped Threadfin,Polydactylus plebeius,Reduce,Malaysia,Drift/ Gillnets (WIld caught),,,2,,Marine-estuarine fish,A long-bodied threadfin that lives in coastal and estuarine waters and is valued for its firm flesh.,WWF rates Kurau Reduce for the stated Malaysia drift/ gillnets (wild caught) context. The S.O.S. Guide does not provide an additional species-specific note for this record. WWF defines Reduce as seafood from fisheries at risk of becoming unsustainable or aquaculture that may carry environmental risks. Consumers are advised to eat it only occasionally when Best Choice options are unavailable.
47,Fish,Mameng,Humphead Wrasse,Cheilinus undulatus,Avoid,Malaysia (Sabah),Hook and line (Wild caught),,,2,,Marine reef fish,"A large, slow-growing wrasse closely associated with coral reefs and recognisable by its thick lips and hump-shaped head.","WWF identifies Humphead Wrasse as a long-lived, slow-breeding coral-reef species and notes that it can reach very large sizes. It is listed as Endangered on the IUCN Red List and in CITES Appendix II. WWF identifies overfishing, habitat destruction, cyanide fishing and fish bombing as threats. These biological and conservation pressures make the Malaysian Sabah wild-caught record Avoid."
48,Fish,Mata Besar / Lolong,Bigeye Scad,Selar crumenophthalmus,Reduce,Malaysia (Peninsular),Purse seine (Wild caught),,,2,,Marine pelagic fish,A schooling scad found in coastal and offshore waters and commonly landed in tropical Southeast Asian fisheries.,WWF rates Mata Besar / Lolong Reduce for the stated Malaysia (Peninsular) purse seine (wild caught) context. The S.O.S. Guide does not provide an additional species-specific note for this record. WWF defines Reduce as seafood from fisheries at risk of becoming unsustainable or aquaculture that may carry environmental risks. Consumers are advised to eat it only occasionally when Best Choice options are unavailable.
49,Fish,Parang,Dorab Wolf-herring,Chirocentrus dorab,Avoid,Malaysia (Peninsular),Trawl (Wild caught),,,2,,Marine pelagic fish,"A long, slender marine predator with a streamlined body, often found in tropical coastal and open-water habitats.",WWF rates Parang Avoid for the stated Malaysia (Peninsular) trawl (wild caught) context. The S.O.S. Guide does not provide an additional species-specific note for this record. WWF defines Avoid as covering unsustainable or overfished fisheries and aquaculture systems that cause negative environmental impacts. SukaSeafood should communicate this as a high-risk choice and avoid adding unsupported reasons.
50,Fish,Pari,All Rays,Chondrichthyes,Avoid,Malaysia and Global,Trawl/ Gillnets ((Wild caught),,,2,,Marine cartilaginous fish,"A broad group of rays with flattened bodies and wing-like fins, found across many marine habitats.","WWF states that overfishing is the largest threat to rays. Some ray fins enter the shark-fin trade, while ray and skate meat is also consumed in coastal communities. Because the category covers multiple ray groups and the assessed fisheries use trawls and gillnets, WWF places the record in Avoid to reduce pressure on vulnerable ray populations and associated marine ecosystems."
51,Fish,Patin,Pangasius,Pangasius bocourti,Best Choice,Vietnam,Farmed,ASC,,2,,Freshwater fish,"A freshwater catfish farmed widely in Southeast Asia, valued for its mild flavour and soft, white flesh.","WWF rates Vietnamese farmed Pangasius Best Choice and records Aquaculture Stewardship Council certification. The guide's Best Choice category is for preferred seafood from well-managed stocks or aquaculture considered lower impact, while ASC certification provides an additional signal of responsible farming and traceability. For this record, the combination of farmed production and ASC certification supports the preferred-choice rating."
52,Fish,Pelata,Blackfin Scad,Alepes melanoptera,Reduce,Malaysia,Purse seine (Wild caught),,,2,,Marine pelagic fish,A small tropical scad that forms schools in coastal waters and is commonly caught by purse seine fisheries.,WWF rates Pelata Reduce for the stated Malaysia purse seine (wild caught) context. The S.O.S. Guide does not provide an additional species-specific note for this record. WWF defines Reduce as seafood from fisheries at risk of becoming unsustainable or aquaculture that may carry environmental risks. Consumers are advised to eat it only occasionally when Best Choice options are unavailable.
53,Fish,Selar Kuning,Yellowtail Scad,Selaroides leptolepis,Avoid,Malaysia,Demersal gillnets (Wild caught),,,2,,Marine pelagic fish,A small yellow-tailed scad associated with tropical coastal waters and commonly caught in nearshore fisheries.,"WWF calls this a very data-deficient fishery: the species' biology and vulnerability to fishing mortality cannot be properly assessed. Given widespread overfishing in the Indo-Pacific and specifically Malaysia and Indonesia, the guide considers stocks likely to be overfished or undergoing overfishing. It also says bottom-set gillnets are non-selective and can have high impacts on endangered, threatened and protected species, supporting Avoid."
54,Fish,Siakap Merah,Mangrove Red Snapper,Lutjanus argentimaculatus,Avoid,Malaysia (Peninsular),Cage/ Pond culture (Farmed),,AIP,2,,Marine-estuarine fish,A mangrove-associated snapper that can live in estuaries and coastal waters and is valued as a food fish.,"WWF rates Malaysian Peninsular Mangrove Red Snapper Avoid for cage/pond culture and directs consumers toward WWF-Malaysia's Aquaculture Improvement Project as an alternative. The S.O.S. page does not provide a longer species-specific explanation for this entry, so the safest user-facing context is that WWF considers this conventional farming pathway higher risk and recommends choosing an improved AIP source instead."
